제목,내용,날짜,추천수,조회수
"현대차·기아, 악재 뚫고 `깜짝실적`…코로나여파 완전히 떨쳤다","8년만에 최대 실적 이룬 현대차 이어 기아도 매출·영업익 사상 최대판매 감소에도 제네시스·RV 중심 판매 믹스 개선이 수익성 끌어올려환율·인센티브 하락도 한몫…""원자잿값 상승 등에 장기적 ..",04/26,0,157
"현대차 ""러시아 소매 판매 25%↓…2분기도 경영 불확실성 지속""","현대차, 원자재가 대응 전담 조직·협의체 신설…러 투자·신차 출시 연기 검토기아 ""우크라 사태·중국 봉쇄령 영향 제한적…타지역 생산 통해 만회""현대차[현대차 제공. 재판매 및 DB 금지](..",04/26,0,121
"기아 1분기 서유럽 시장 전기차 점유율, 테슬라에 이어 2위","기아 EV6, 유럽 '올해의 차' 선정[기아 제공. 재판매 및 DB 금지](서울=연합뉴스) 박성민 기자 = 기아가 올해 1분기 서유럽 자동차 시장에서 전기차 판매 점유율 2위를 기록했다.기..",04/26,0,241
"평택시, 내달부터 분진흡입차 6대 운행…""도로 미세먼지 저감""",(평택=연합뉴스) 최해민 기자 = 경기 평택시는 도로 위 미세먼지 저감을 위해 다음 달부터 분진흡입차 6대를 운행한다고 25일 밝혔다.평택에 투입되는 도로 분진흡입차[평택시 제공. 재판매 ..,04/26,0,219
"아우디, `아우디 e-트론 S` 등 순수 전기차 2종 출시",세계 최초로 전기모터 3개 탑재…28일부터 판매 개시(서울=연합뉴스) 김보경 기자 = 아우디는 전기 구동 쿠페형 스포츠유틸리티차(SUV) '아우디 e-트론 S'와 '아우디 e-트론 S 스포..,04/25,0,1259
벤츠트럭 e에코닉 핀란드서 막판 내구성 테스트,"e악트로스 기반, 6×2 트럭쓰레기 수거용으로 2분기 출시메르세데스-벤츠 트럭은 올해 2분기 자사 대형 전기트럭 ‘e에코닉’의 양산체제를 구축하기 전 핀란드에서 내구성 테스트를 진행한다고 ..",04/25,0,509
"미니코리아, 온라인 한정판매 전기차 `GEN Z E에디션` 출시",미니 GEN Z E에디션[미니코리아 제공. 재판매 및 DB 금지](서울=연합뉴스) 박성민 기자 = 미니코리아는 25일 오후 3시 온라인 판매채널인 'MINI 샵 온라인'(shop.mini...,04/25,0,927
"LG화학, `배터리 열폭주` 막는 첨단 플라스틱 소재 개발","""1천도 이상에서 400초 이상 화염 전파 방지…운전자 대피에 도움""LG화학 연구원들이 신규 개발한 특수 난연 플라스틱 소재를 살펴보는 모습[LG화학 제공·재판매 및 DB 금지](서울=연합..",04/25,1,511
대형 화물차 사각지대 승용차의 2배...우회전 시 보행자 사고 취약,"대형 화물차 우측 사각지대 거리 8.3m 내외, 승용차 2배대형 화물차의 우측 사각지대 거리가 일반 승용차에 비해 2배가량 길어 우회전 시 보행자 사고에 취약하다는 분석이 나왔다.도로교통공..",04/25,0,192
제3차 계절관리제 기간에 5등급차 1만9천대 저공해조치 신청,"5천271대는 조기폐차 등 완료…1년간 저공해 미조치 5등급차 37만대 감소서울시, 계절관리제로 한달간 5등급 차량 오염물질 감축(서울=연합뉴스) 서울 지역에서 이번 달 1일부터 시행한 3..",04/25,0,165
"의정부시, 과태료 체납자 253명 자동차 압류",(의정부=연합뉴스) 김도윤 기자 = 경기 의정부시는 고질적인 자동차 관련 과태료 체납자 253명의 차량을 압류했다고 25일 밝혔다.이번 조치로 자동차등록원부에 '압류'가 표시되면 차량은 운..,04/25,0,183
"""유럽 배터리 시장 공략""…코트라, `한-유럽 배터리데이` 개최",(서울=연합뉴스) 권혜진 기자 = 대한무역투자진흥공사(코트라)는 국내 기업의 유럽 전기차 배터리 시장 진출을 지원하기 위한 '2022 한-유럽 배터리데이'를 연다고 25일 밝혔다.올해로 2..,04/25,0,110
"이노션, 시각특수효과 전문업체 `더 밀`과 글로벌 사업 협력",'더 밀' 글로벌 CEO 조시 만델과 이용우 이노션 대표이사[이노션 제공. DB 및 재판매 금지](서울=연합뉴스) 김철선 기자 = 현대차그룹 광고계열사 이노션 월드와이드는 글로벌 시각특수효..,04/25,0,103
"현대차그룹 주요 4개사, RE100 가입 완료…""2050년 달성 목표""","현대자동차그룹 깃발[연합뉴스TV 제공](서울=연합뉴스) 박성민 기자 = 현대차그룹은 현대차와 기아, 현대모비스, 현대위아 등 주요 4개 사가 재생에너지 100%를 사용한다는 캠페인 'RE1..",04/25,0,130
`춘추전국시대` 국내 수입전기차 시장…테슬라 쫓는 유럽 브랜드,벤츠 전기 SUV '더 뉴 EQA'[메르세데스-벤츠코리아 제공. 재판매 및 DB 금지](서울=연합뉴스) 박성민 기자 = 우리나라 수입 전기차 시장에서 완성차 브랜드 간의 각축전이 본격적으로..,04/25,0,190
"""차량 내 편의기능도 구독하는 시대…잠재력 높은 시장될 것""","자동차연구원 ""1천억달러 규모로 성장할수도…기술-상품성이 관건""자율주행차(CG)[연합뉴스TV 제공](서울=연합뉴스) 권희원 기자 = 자율주행차와 자동차 커넥티비티 기술이 고도화되면서 앞으로..",04/25,0,158
"한경연 ""불붙은 자율주행차 경쟁…한국도 규제개선 속도 내야""","""미·독·일은 레벨3 주행가능한 법률요건 구축…한국은 임시운행만 가능""""미국은 시범운행 자율주행차 1천400대 이상…우리나라는 220여대 불과""자율주행차[서울시 제공. 재판매 및 DB 금지..",04/25,1,116
전남지역 수소전지차 충전소 14곳으로 확대,여수 수소충전소[연합뉴스 자료사진](순천=연합뉴스) 여운창 기자 = 전남도는 환경부·국토부의 수소연료전지차 충전소 공모에 도내 5곳이 추가 선정됐다고 24일 밝혔다.선정지역은 목포시 연산동..,04/25,0,128
"KT, 타타대우에 원격 차량 관리·진단 서비스 제공",상용차용 텔레매틱스 서비스 '쎈링크' 제공차량·운행 데이터 분석 및 운전 습관 등 정보 확인(서울=연합뉴스) 김잔디 기자 = KT는 타타대우에 트럭 등을 원격으로 관리하고 운행 정보를 확인..,04/25,0,114
"아이오닉5·EV6, 독일 유력 車전문지 평가서 테슬라 모델Y 제쳐",아우토 모토 운트 슈포트 전기차 비교평가서 나란히 1·2위아이오닉 5[현대차 제공. 재판매 및 DB 금지] photo@yna.co.kr(서울=연합뉴스) 권희원 기자 = 세계 3대 자동차 시..,04/25,3,383
자동차 강판값 t당 15만원↑사실상 합의…조선 후판협상은 난항,선박 제조 중인 조선업체 직원[연합뉴스 자료사진](서울=연합뉴스) 권혜진 기자 = 철강업계가 자동차업계와 자동차 강판을 t(톤)당 15만원 정도 인상하는 것으로 가격 협상을 사실상 마무리했..,04/25,0,128
올해도 위기의 르쌍쉐…1분기 생산 작년보다 줄어 18년만에 최소,1분기 12만3천대 생산…반도체 수급난 영향받았던 작년보다 2.1%↓내수판매도 외환위기 이후 최소…상하이 봉쇄 등으로 부품수급 차질 우려후진하는 자동차 생산 (CG)[연합뉴스TV 제공](서..,04/25,2,232
"BMW, `뉴 7시리즈` 최초 공개…하반기 국내 출시",순수전기차 i7도 공개…1회 충전시 625㎞ 주행BMW 뉴 7 시리즈[BMW코리아 제공. 재판매 및 DB 금지](서울=연합뉴스) 권희원 기자 = BMW그룹이 럭셔리 플래그십 세단인 '뉴 7..,04/22,3,4398
"BMW 모토라드, BMW M 1000 RR 등 온라인 한정판매 모델 3종 출시",뉴 K 1600 GTL 옵션 719 에디션[BMW코리아 제공. 재판매 및 DB 금지](서울=연합뉴스) 권희원 기자 = BMW코리아의 모터사이클 사업부인 BMW 모토라드는 4월 온라인 한정 ..,04/22,1,1231
‘영업용 넘버 혜택’ 끝났지만… 경소형 전기트럭 인기는 여전할 듯,영업용 전기트럭 신규 허가 중단되고대당 구매보조금 줄어 찻값 부담 올라그럼에도 영업용 등록 비율 전체 20% 불과소상공인 추가지원금 받으면 가격 부담↓“찻값은 오르고 구매보조금은 감소한 데..,04/22,0,1160
"포스코, 광양에 연산 30만t 규모 무방향성 전기강판 공장 착공","""2025년 완공시 전기강판 생산능력 113만t으로 확대""포스코 광양제철소[포스코 제공. 재판매 및 DB 금지](서울=연합뉴스) 권혜진 기자 = 포스코가 22일 전남 광양에 연산 30만t(..",04/22,0,385
"앨리슨트랜스미션, ‘오토 준중형버스’ 국내 누적 판매 4,000대 달성","국내 시장 진출 8년 반 만의 성과4,000번째 고객과 감사 이벤트 진행앨리슨트랜스미션이 자사 전자동변속기가 탑재된 준중형버스의 국내 누적 판매 4,000대를 달성했다고 22일 밝혔다.세계..",04/22,3,663
"현대차, 3년만에 열린 베네치아 비엔날레 한국관 공식 후원","현대차 전시 참가했던 김윤철 작가, 7점의 설치작품 선보여(서울=연합뉴스) 김보경 기자 = 현대차가 올해도 세계 최고 권위의 미술 축제인 베네치아 비엔날레 후원에 나섰다.현대자동차, '제5..",04/22,0,248
"현대차그룹, 독일 iF 디자인 어워드 본상 17개 수상","스타리아·EV6·GV60 등 제품부문 본상기아 EV6, iF 디자인 어워드 본상 수상[기아 제공. 재판매 및 DB 금지](서울=연합뉴스) 박성민 기자 = 현대차그룹은 세계 3대 디자인상의 ..",04/22,1,295
[시승기] 오프로드서도 몸이 튀지 않는 안정감…`뉴 포드 브롱코`,25년만에 6세대 모델로 부활…강력한 오프로드 성능에 안정적 주행감1세대 모델 연상시키는 레트로 디자인도 강점(서울=연합뉴스) 김보경 기자 = '오프로더의 드림카' 포드 브롱코가 국내에 상..,04/22,1,841
"현대차그룹, 1분기 유럽서 26만9천대 판매…점유율 2계단 뛴 3위",작년보다 유럽 전체 판매량 10.6% 하락에도 현대차그룹은 21.3%↑아이오닉 5[현대차 제공. 연합뉴스 자료사진](서울=연합뉴스) 권희원 기자 = 현대차·기아가 차량용 반도체 수급난 속에..,04/21,1,828
"쌍용차 노조 ""상장 폐지되면 재매각 어려워…개선기간 연장돼야""","한국거래소에 청원서 제출…""상장 유지는 재매각 위한 절대적 조건""쌍용차 노조, 한국거래소에 상장폐지 개선기간 연장 청원서 제출[촬영 권희원](서울=연합뉴스) 권희원 기자 = 에디슨모터스와의..",04/21,2,966
"정부, 2030년까지 미래차 전문인력 3만명 양성한다","산업부, 미래차 인력양성 성과 보고회…올해는 2천233명 양성미래차 인력양성사업 운영현황[산업통상자원부 제공. 재판매 및 DB 금지](서울=연합뉴스) 권혜진 기자 = 정부가 올해 224억원..",04/21,0,222
판매량이 건재하는 한… ‘한 세대’ 현역 꿈꾸는 장수 상용차들,"현대차 3종_마이티 내로우캡,에어로타운, ‘뉴파워트럭’타타대우 1종_노부스 트럭신형 엔진과 첨단사양 더해 수명 연장장수모델 조건, ‘대체 불가한 차종 돼야’경상용차 시장서 독점적 지위를 누..",04/21,1,618
"LG전자 자회사 ZKW, SUV 레인지로버에 스마트 디지털 조명 공급",ZKW 생산공장[ZKW 제공·재판매 및 DB 금지](서울=연합뉴스) 조재영 기자 = LG전자의 차량용 조명 자회사인 오스트리아 ZKW가 영국 재규어 랜드로버의 럭셔리 SUV(스포츠유틸리티차..,04/21,0,275
"현대차, 카타르 월드컵 공식 후원…""탄소중립 월드컵에 기여""","내일부터 '세기의 골' 캠페인…제라드·스팟 등 멤버인 '팀 센추리'도 구성11명 추첨해 '경기 직관' 이벤트…아이오닉5 등 친환경차로 공식 차량 제공현대차, '2022 FIFA 월드컵' 공..",04/21,0,178
"르노코리아, 부산시와 미래차 친환경 클러스터 구축 `맞손`",미래차 중심으로 일자리 창출해 지역경제 발전 기여(서울=연합뉴스) 김보경 기자 = 르노코리아자동차(르노코리아)가 부산시와 함께 미래차 친환경 클러스터 구축에 나선다.르노코리아는 스테판 드블..,04/21,0,166
"현대차, 어린이 통학차량 항균·점검 등 `무상 케어 서비스`","현대차, 어린이 통학차량 무상 케어서비스[현대차 제공. 재판매 및 DB 금지](서울=연합뉴스) 권희원 기자 = 현대자동차는 어린이 통학차량을 대상으로 항균과 에어컨 필터 교환 등의 서비스를..",04/21,0,149
"""아이오닉 5와 친환경 캠핑""…현대차, `휠핑 시즌3` 참가자 모집","현대차, 휠핑 시즌3 참가자 모집[현대차 제공. 재판매 및 DB 금지](서울=연합뉴스) 박성민 기자 = 현대차는 캠핑 체험 플랫폼 '휠핑'(Wheelping) 시즌3 참가자를 22일부터 모..",04/21,0,204
"서울시, 25∼26일 노후경유차 배출가스 저감장치 무료 점검",노후 경유차 배출가스 저감장치 무상점검[서울시 제공. 재판매 및 DB 금지](서울=연합뉴스) 고현실 기자 = 서울시는 환경부 소속 수도권대기환경청과 함께 이달 25∼26일 배출가스 저감장치..,04/21,0,136
"금호타이어, 순천교통과 `버스 모니터링서비스` 시범운행 완료",타이어 내부 센서로 공기압·온도 등 모니터링…연비 절감 등 기대금호타이어[금호타이어 제공. 재판매 및 DB 금지](서울=연합뉴스) 권희원 기자 = 금호타이어는 타이어 내부에 장착된 센서를 ..,04/21,0,204
"소공연, LPG협회 등과 친환경 LPG화물차 보급 확대 협력","소상공인연합회, 대한LPG협회, 한국가스판매업연합회와 업무협약[소상공인연합회 제공. 재판매 및 DB 금지](서울=연합뉴스) 박상돈 기자 = 소상공인연합회가 친환경 액화석유가스(LPG) 화물..",04/21,0,157
"스카니아, 연비와 가동률 극대화한 한 복합 솔루션 ‘에코케어’ 출시",효율적 유지보수·연비 개선최적화된 점검 주기·서비스 설계첨단안전사양으로 연비 극대화목포에 서비스센터 신규 오픈스카니아코리아(대표이사 폐르 릴례퀴스트)가 차량의 효율적인 유지보수를 돕고 연비..,04/21,0,153
"화물차들이여, 적재화물 더 꽁꽁 묶고 다니세요!","더욱 강화된 적재물 이탈방지법 4월 말 시행탑차나 윙바디에 실은 화물도 별도 고정해야위반 시 과태료, 낙하물 사망 시 5년 이하 징역국토부가 올해부터 적재물 낙하사고를 근절하기 위해 화물 ..",04/20,5,2701
